thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
30,0,30,[-0.053703703703703705],[-0.3907407407407407],[1],[0],[0],[1.7850478999316692],['target'],30,0,30,0,57.14189100032672,,5,57.13226600037888,57.14189100032672,57.14189100032672,0.014429700095206499,58.91774800000712,[-0.053703703703703705],[-0.3907407407407407],[1],[0],[0],[1.7850478999316692],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
31,0,31,[-0.08425925925925926],[-0.412962962962963],[1],[0],[0],[1.8507215999998152],['target'],31,0,31,0,58.94456299999729,,5,58.93350310018286,58.94456299999729,58.94456299999729,0.015620699618011713,60.784693700261414,[-0.08425925925925926],[-0.412962962962963],[1],[0],[0],[1.8507215999998152],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
32,0,32,[-0.4777777777777778],[-0.3388888888888889],[1],[0],[0],[1.8327843002043664],['target'],32,0,32,0,60.8097151000984,,5,60.80114020034671,60.8097151000984,60.8097151000984,0.016299100127071142,62.634378500282764,[-0.4777777777777778],[-0.3388888888888889],[1],[0],[0],[1.8327843002043664],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
33,0,33,[0.2962962962962963],[-0.37962962962962965],[1],[0],[0],[3.20874710008502],['target'],33,0,33,0,62.677823200356215,,10,62.66298400005326,62.677823200356215,62.677823200356215,0.028476799838244915,65.87234900007024,[0.2962962962962963],[-0.37962962962962965],[1],[0],[0],[3.20874710008502],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
34,0,34,[-0.03981481481481482],[-0.34074074074074073],[1],[0],[0],[1.818664699792862],['target'],34,0,34,0,65.8958074003458,,5,65.88670320017263,65.8958074003458,65.8958074003458,0.014103000052273273,67.70575940003619,[-0.03981481481481482],[-0.34074074074074073],[1],[0],[0],[1.818664699792862],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
35,0,35,[0.2324074074074074],[0.10555555555555556],[1],[0],[0],[1.9674709001556039],['target'],35,0,35,0,67.73025360004976,,5,67.72041549999267,67.73025360004976,67.73025360004976,0.01443680003285408,69.68834270024672,[0.2324074074074074],[0.10555555555555556],[1],[0],[0],[1.9674709001556039],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
36,0,36,[-0.3435185185185185],[-0.030555555555555555],[1],[0],[0],[1.3854817999526858],['target'],36,0,36,0,69.71219600038603,,5,69.70295350020751,69.71219600038603,69.71219600038603,0.014478400349617004,71.08892669994384,[-0.3435185185185185],[-0.030555555555555555],[1],[0],[0],[1.3854817999526858],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
37,0,37,[-0.10092592592592593],[0.48148148148148145],[1],[0],[0],[4.256879600230604],['target'],37,0,37,0,71.13388690026477,,10,71.11916510015726,71.13388690026477,71.13388690026477,0.030046800151467323,75.37664020014927,[-0.10092592592592593],[0.48148148148148145],[1],[0],[0],[4.256879600230604],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
38,0,38,[0.22962962962962963],[0.26481481481481484],[1],[0],[0],[1.676184399984777],['target'],38,0,38,0,75.41642939997837,,10,75.40389139996842,75.41642939997837,75.41642939997837,0.027021299581974745,77.08046550024301,[0.22962962962962963],[0.26481481481481484],[1],[0],[0],[1.676184399984777],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
39,0,39,[0.42407407407407405],[0.262037037037037],[1],[0],[0],[1.7849837001413107],['target'],39,0,39,0,77.10442139999941,,5,77.09515220019966,77.10442139999941,77.10442139999941,0.01452490035444498,78.88052000012249,[0.42407407407407405],[0.262037037037037],[1],[0],[0],[1.7849837001413107],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
